mode,detector,energy_keV,n_events,output_name,config_path
bare,eiger2,20,10000,mp_bare_eiger2_20keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_20keV.conf
bare,eiger2,30,10000,mp_bare_eiger2_30keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_30keV.conf
bare,eiger2,40,10000,mp_bare_eiger2_40keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_40keV.conf
bare,eiger2,50,10000,mp_bare_eiger2_50keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_50keV.conf
bare,eiger2,60,10000,mp_bare_eiger2_60keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_60keV.conf
bare,eiger2,70,10000,mp_bare_eiger2_70keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_70keV.conf
bare,eiger2,80,10000,mp_bare_eiger2_80keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_80keV.conf
bare,eiger2,90,10000,mp_bare_eiger2_90keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_90keV.conf
bare,eiger2,100,10000,mp_bare_eiger2_100keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_100keV.conf
bare,eiger2,110,10000,mp_bare_eiger2_110keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_110keV.conf
bare,eiger2,120,10000,mp_bare_eiger2_120keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_120keV.conf
bare,eiger2,130,10000,mp_bare_eiger2_130keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_130keV.conf
bare,eiger2,140,10000,mp_bare_eiger2_140keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_140keV.conf
bare,eiger2,150,10000,mp_bare_eiger2_150keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_eiger2_150keV.conf
transport,medipix3,40,10000,mp_transport_medipix3_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_medipix3_alloy2_40keV.conf
transport,medipix3,80,10000,mp_transport_medipix3_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_medipix3_alloy2_80keV.conf
transport,medipix3,120,10000,mp_transport_medipix3_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_medipix3_alloy2_120keV.conf
transport,hexitec_proxy,40,10000,mp_transport_hexitec_proxy_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_hexitec_proxy_alloy2_40keV.conf
transport,hexitec_proxy,80,10000,mp_transport_hexitec_proxy_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_hexitec_proxy_alloy2_80keV.conf
transport,hexitec_proxy,120,10000,mp_transport_hexitec_proxy_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_hexitec_proxy_alloy2_120keV.conf
transport,timepix3_cdte,40,10000,mp_transport_timepix3_cdte_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_timepix3_cdte_alloy2_40keV.conf
transport,timepix3_cdte,80,10000,mp_transport_timepix3_cdte_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_timepix3_cdte_alloy2_80keV.conf
transport,timepix3_cdte,120,10000,mp_transport_timepix3_cdte_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration/mp_transport_timepix3_cdte_alloy2_120keV.conf
