mode,detector,energy_keV,n_events,output_name,config_path
bare,medipix3,20,10000,mpu_bare_medipix3_20keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_20keV.conf
bare,medipix3,30,10000,mpu_bare_medipix3_30keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_30keV.conf
bare,medipix3,40,10000,mpu_bare_medipix3_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_40keV.conf
bare,medipix3,50,10000,mpu_bare_medipix3_50keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_50keV.conf
bare,medipix3,60,10000,mpu_bare_medipix3_60keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_60keV.conf
bare,medipix3,70,10000,mpu_bare_medipix3_70keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_70keV.conf
bare,medipix3,80,10000,mpu_bare_medipix3_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_80keV.conf
bare,medipix3,90,10000,mpu_bare_medipix3_90keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_90keV.conf
bare,medipix3,100,10000,mpu_bare_medipix3_100keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_100keV.conf
bare,medipix3,110,10000,mpu_bare_medipix3_110keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_110keV.conf
bare,medipix3,120,10000,mpu_bare_medipix3_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_120keV.conf
bare,medipix3,130,10000,mpu_bare_medipix3_130keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_130keV.conf
bare,medipix3,140,10000,mpu_bare_medipix3_140keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_140keV.conf
bare,medipix3,150,10000,mpu_bare_medipix3_150keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_medipix3_150keV.conf
bare,eiger2,20,10000,mpu_bare_eiger2_20keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_20keV.conf
bare,eiger2,30,10000,mpu_bare_eiger2_30keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_30keV.conf
bare,eiger2,40,10000,mpu_bare_eiger2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_40keV.conf
bare,eiger2,50,10000,mpu_bare_eiger2_50keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_50keV.conf
bare,eiger2,60,10000,mpu_bare_eiger2_60keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_60keV.conf
bare,eiger2,70,10000,mpu_bare_eiger2_70keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_70keV.conf
bare,eiger2,80,10000,mpu_bare_eiger2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_80keV.conf
bare,eiger2,90,10000,mpu_bare_eiger2_90keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_90keV.conf
bare,eiger2,100,10000,mpu_bare_eiger2_100keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_100keV.conf
bare,eiger2,110,10000,mpu_bare_eiger2_110keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_110keV.conf
bare,eiger2,120,10000,mpu_bare_eiger2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_120keV.conf
bare,eiger2,130,10000,mpu_bare_eiger2_130keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_130keV.conf
bare,eiger2,140,10000,mpu_bare_eiger2_140keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_140keV.conf
bare,eiger2,150,10000,mpu_bare_eiger2_150keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_bare_eiger2_150keV.conf
transport,medipix3,40,10000,mpu_transport_medipix3_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_medipix3_alloy2_40keV.conf
transport,medipix3,80,10000,mpu_transport_medipix3_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_medipix3_alloy2_80keV.conf
transport,medipix3,120,10000,mpu_transport_medipix3_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_medipix3_alloy2_120keV.conf
transport,eiger2,20,10000,mpu_transport_eiger2_alloy2_20keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_20keV.conf
transport,eiger2,30,10000,mpu_transport_eiger2_alloy2_30keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_30keV.conf
transport,eiger2,40,10000,mpu_transport_eiger2_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_40keV.conf
transport,eiger2,50,10000,mpu_transport_eiger2_alloy2_50keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_50keV.conf
transport,eiger2,60,10000,mpu_transport_eiger2_alloy2_60keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_60keV.conf
transport,eiger2,70,10000,mpu_transport_eiger2_alloy2_70keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_70keV.conf
transport,eiger2,80,10000,mpu_transport_eiger2_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_80keV.conf
transport,eiger2,90,10000,mpu_transport_eiger2_alloy2_90keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_90keV.conf
transport,eiger2,100,10000,mpu_transport_eiger2_alloy2_100keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_100keV.conf
transport,eiger2,110,10000,mpu_transport_eiger2_alloy2_110keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_110keV.conf
transport,eiger2,120,10000,mpu_transport_eiger2_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_120keV.conf
transport,eiger2,130,10000,mpu_transport_eiger2_alloy2_130keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_130keV.conf
transport,eiger2,140,10000,mpu_transport_eiger2_alloy2_140keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_140keV.conf
transport,eiger2,150,10000,mpu_transport_eiger2_alloy2_150keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_eiger2_alloy2_150keV.conf
transport,hexitec_proxy,40,10000,mpu_transport_hexitec_proxy_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_40keV.conf
transport,hexitec_proxy,80,10000,mpu_transport_hexitec_proxy_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_80keV.conf
transport,hexitec_proxy,120,10000,mpu_transport_hexitec_proxy_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_hexitec_proxy_alloy2_120keV.conf
transport,timepix3_cdte,40,10000,mpu_transport_timepix3_cdte_alloy2_40keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_40keV.conf
transport,timepix3_cdte,80,10000,mpu_transport_timepix3_cdte_alloy2_80keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_80keV.conf
transport,timepix3_cdte,120,10000,mpu_transport_timepix3_cdte_alloy2_120keV,/data/simulation/configs/scenarios/material_penetration_uniform/mpu_transport_timepix3_cdte_alloy2_120keV.conf
bare,hexitec_proxy,20,10000,mpu_bare_hexitec_proxy_20keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_20keV.conf
bare,hexitec_proxy,30,10000,mpu_bare_hexitec_proxy_30keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_30keV.conf
bare,hexitec_proxy,40,10000,mpu_bare_hexitec_proxy_40keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_40keV.conf
bare,hexitec_proxy,50,10000,mpu_bare_hexitec_proxy_50keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_50keV.conf
bare,hexitec_proxy,60,10000,mpu_bare_hexitec_proxy_60keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_60keV.conf
bare,hexitec_proxy,70,10000,mpu_bare_hexitec_proxy_70keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_70keV.conf
bare,hexitec_proxy,80,10000,mpu_bare_hexitec_proxy_80keV,/data/simulation/configs/scenarios/material_penetration/mp_bare_hexitec_proxy_80keV.conf
